JOB_ID,POSTED_DATE,EXPIRED_DATE,TITLE_RAW,TITLE_CLEAN,TITLE_STANDARDIZED,SCOPE_TIER,ROLE_SEGMENT,ROLE_MATCH_REASON,SENIORITY_PROXY,EXPERIENCE_DATA_SOURCE,MIN_YEARS_EXPERIENCE,MAX_YEARS_EXPERIENCE,EDUCATION_REQUIRED,EDUCATION_RAW,EMPLOYMENT_TYPE,IS_INTERNSHIP,REMOTE_STATUS,REMOTE_RAW,LOCATION_CLEAN,CITY,COUNTY,STATE,COMPANY_NAME,COMPANY_RAW,COMPANY_IS_STAFFING,SALARY_FROM_ANNUAL,SALARY_TO_ANNUAL,SALARY_MIDPOINT_ANNUAL,SALARY_CURRENCY,SALARY_STATUS,SALARY_OUTLIER_FLAG,SALARY_RAW,ORIGINAL_PAY_PERIOD,SKILLS_CLEAN,SKILL_COUNT,SKILL_SOURCE,SKILLS_RAW,SPECIALIZED_SKILLS_RAW,SOFTWARE_SKILLS_RAW,CERTIFICATIONS_RAW,ONET_NAME,SOC_5,SOC_5_NAME,NAICS_2022_6,NAICS_2022_6_NAME,INDUSTRY_MATCH_METHOD,NEAR_DUPLICATE_FLAG,SOURCE_DUPLICATE_INDICATOR
416038,2026-06-03,,Sr. Lead Software Engineer - AWS Data Engineer - AI/ML,Sr. Lead Software Engineer - AWS Data Engineer - AI/ML,Software Developers,Adjacent,Machine Learning Technical Role,Explicit ML technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"Houston, Texas",Houston,,Texas,Jpmc.fa.oraclecloud.com,Jpmc.fa.oraclecloud.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,"[\"AWS\"]",1,Description keywords,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
404916,2026-06-05,,Principal Software Engineer - ITSM Process Automation & AI,Principal Software Engineer - ITSM Process Automation & AI,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"Louisville, Kentucky",Louisville,,Kentucky,Careers.humana.com,Careers.humana.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,"[\"Automation\"]",1,Structured fields,"[\"Automation\"]","[\"Automation\"]",[],[],Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
405473,2026-06-05,,Staff Engineer - Software & AI,Staff Engineer - Software & AI,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Master's degree,Master's degree,Unknown,false,Remote,Remote,"Washington, District of Columbia",Washington,District of Columbia,District of Columbia,Careers.wexinc.com,Careers.wexinc.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
388185,2026-06-09,,Lead Software Engineer - AI Developer,Lead Software Engineer - AI Developer,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"Plano, Texas",Plano,,Texas,Jpmc.fa.oraclecloud.com,Jpmc.fa.oraclecloud.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
390741,2026-06-09,,Staff Software Engineer (AI & Backend),Staff Software Engineer,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Master's degree,Master's degree,Unknown,false,Remote,Remote,"Remote, Maine",Remote,,Maine,Careers.wexinc.com,Careers.wexinc.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
343471,2026-06-16,,"Sr Lead Software Engineer - Java FS with React, AI","Sr Lead Software Engineer - Java FS with React, AI",Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"Plano, Texas",Plano,,Texas,Jpmc.fa.oraclecloud.com,Jpmc.fa.oraclecloud.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,"[\"Java\"]",1,Description keywords,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
322431,2026-06-18,,Senior Lead Software Engineer- AI Platform engineer,Senior Lead Software Engineer- AI Platform engineer,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"San Francisco, California",San Francisco,San Francisco County,California,Jpmc.fa.oraclecloud.com,Jpmc.fa.oraclecloud.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
261952,2026-06-25,,"Senior Software Engineer, AI-Augmented Backend","Senior Software Engineer, AI-Augmented Backend",Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Senior title,Title-based seniority proxy,,,Master's degree,Master's degree,Unknown,false,Remote,Remote,"Remote, Maine",Remote,,Maine,Careers.wexinc.com,Careers.wexinc.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
239150,2026-06-26,,Senior Lead Software Engineer - AI,Senior Lead Software Engineer - AI,Software Developers,Adjacent,AI Technical Role,Explicit AI technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Unknown,false,Unknown,Unknown,"Plano, Texas",Plano,,Texas,Jpmc.fa.oraclecloud.com,Jpmc.fa.oraclecloud.com,false,,,,,Missing,false,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
744351,2026-07-14,,"Staff+ Software Engineer, Safeguards ML Infrastructure","Staff+ Software Engineer, Safeguards ML Infrastructure",Software Developers,Adjacent,Machine Learning Technical Role,Explicit ML technical title,Staff/Principal/Lead title,Title-based seniority proxy,,,Bachelor's degree,Bachelor's degree,Full Time,false,Unknown,Unknown,"San Francisco, California",San Francisco,San Francisco County,California,Anthropic,Anthropic,false,320000.0,485000.0,402500.0,USD,Valid,true,"USD 320,000 - 485,000 Yearly",annual,[],0,Unavailable,,,,,Software Developers,15-1252,Software Developers,513210,Software Publishers,Canonical industry name fallback,false,
