JOB_ID,Skill,Description Mention
9fcc76415c05500ff5971f8b11594ab65f34533f,Machine Learning,1
9fcc76415c05500ff5971f8b11594ab65f34533f,AWS,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Azure,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Google Cloud,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Data Modeling,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Kubernetes,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Apache Kafka,1
9fcc76415c05500ff5971f8b11594ab65f34533f,Java,1
9fcc76415c05500ff5971f8b11594ab65f34533f,JavaScript,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Python,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Machine Learning,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,MLOps,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,AWS,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Generative AI,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Large Language Models,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Docker,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Kubernetes,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Apache Kafka,1
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Java,1
869ab0ddb1fee45911ef8df7221ebeaf39487feb,Python,1
869ab0ddb1fee45911ef8df7221ebeaf39487feb,SQL,1
869ab0ddb1fee45911ef8df7221ebeaf39487feb,Data Visualization,1
869ab0ddb1fee45911ef8df7221ebeaf39487feb,Tableau,1
869ab0ddb1fee45911ef8df7221ebeaf39487feb,GitHub,1
75a899f60472fef24729a24c1c418f77ceba9985,Python,1
75a899f60472fef24729a24c1c418f77ceba9985,SQL,1
75a899f60472fef24729a24c1c418f77ceba9985,Data Visualization,1
75a899f60472fef24729a24c1c418f77ceba9985,Tableau,1
75a899f60472fef24729a24c1c418f77ceba9985,GitHub,1
af86e8ce518e4926a5dee8b3a90a38d0c0d923ec,Machine Learning,1
af86e8ce518e4926a5dee8b3a90a38d0c0d923ec,MLOps,1
af86e8ce518e4926a5dee8b3a90a38d0c0d923ec,Generative AI,1
af86e8ce518e4926a5dee8b3a90a38d0c0d923ec,Large Language Models,1
b927c3a77c71177a9459bc0e41c4bd81f80debbc,Machine Learning,1
b927c3a77c71177a9459bc0e41c4bd81f80debbc,MLOps,1
b927c3a77c71177a9459bc0e41c4bd81f80debbc,Generative AI,1
b927c3a77c71177a9459bc0e41c4bd81f80debbc,Large Language Models,1
dba19d3ea206715e5205906acc27489be3788b7c,AWS,1
dba19d3ea206715e5205906acc27489be3788b7c,Azure,1
dba19d3ea206715e5205906acc27489be3788b7c,Data Visualization,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Machine Learning,1
20829c9ed040398015e3a0be96e43ed8185d0b43,AWS,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Azure,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Google Cloud,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Large Language Models,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Data Modeling,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Kubernetes,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Apache Kafka,1
20829c9ed040398015e3a0be96e43ed8185d0b43,Java,1
20829c9ed040398015e3a0be96e43ed8185d0b43,JavaScript,1
6d8183a60e5eca6d47ab7816a54dc1e633a5a668,Python,1
6d8183a60e5eca6d47ab7816a54dc1e633a5a668,Machine Learning,1
6d8183a60e5eca6d47ab7816a54dc1e633a5a668,Generative AI,1
6d8183a60e5eca6d47ab7816a54dc1e633a5a668,Java,1
7415af82fe8458b7ce5eaf7413181f8d8d844055,Python,1
7415af82fe8458b7ce5eaf7413181f8d8d844055,SQL,1
7415af82fe8458b7ce5eaf7413181f8d8d844055,Data Modeling,1
